#,Club,Club.1,Club.2,Expenditure,Arrivals,Income,Departures,Balance
1,,FC Barcelona,€2.78bn,1069,€1.71bn,1048,"€-1,072.41m",
2,,Real Madrid,€2.73bn,910,€1.52bn,915,"€-1,205.77m",
3,,Atlético de Madrid,€1.92bn,996,€1.58bn,996,€-337.75m,
4,,Valencia CF,€1.08bn,841,€1.05bn,829,€-35.10m,
5,,Sevilla FC,€996.01m,866,€1.09bn,878,€94.87m,
6,,Villarreal CF,€759.41m,580,€803.85m,560,€44.44m,
7,,Real Betis Balompié,€604.58m,796,€513.87m,806,€-90.70m,
8,,Real Sociedad,€373.09m,648,€471.53m,653,€98.44m,
9,,Deportivo de La Coruña,€364.82m,841,€292.27m,838,€-72.55m,
10,,Celta de Vigo,€328.45m,758,€343.03m,769,€14.58m,
11,,RCD Espanyol Barcelona,€278.88m,1054,€374.39m,1055,€95.51m,
12,,Athletic Bilbao,€215.16m,634,€278.96m,615,€63.80m,
13,,Getafe CF,€213.58m,538,€228.17m,520,€14.59m,
14,,UD Almería,€202.37m,518,€183.85m,509,€-18.52m,
15,,Real Zaragoza,€199.13m,837,€247.11m,839,€47.98m,
16,,RCD Mallorca,€166.54m,803,€313.87m,807,€147.33m,
17,,Málaga CF,€158.18m,711,€277.09m,714,€118.91m,
18,,Granada CF,€133.71m,918,€166.13m,916,€32.41m,
19,,Girona FC,€108.24m,537,€117.00m,530,€8.77m,
20,,CA Osasuna,€94.37m,640,€123.89m,647,€29.52m,
21,,Levante UD,€87.98m,861,€164.01m,861,€76.03m,
22,,Real Valladolid CF,€83.85m,846,€172.72m,853,€88.87m,
23,,UD Las Palmas,€80.52m,751,€109.12m,751,€28.60m,
24,,Deportivo Alavés,€74.99m,747,€114.07m,744,€39.08m,
25,,Rayo Vallecano,€71.76m,712,€80.22m,718,€8.47m,
