#,Club,Club.1,Club.2,Expenditure,Arrivals,Income,Departures,Balance
1,,Paris Saint-Germain,€2.61bn,756,€1.11bn,739,"€-1,495.37m",
2,,AS Monaco,€1.40bn,917,€1.61bn,906,€209.74m,
3,,Olympique Lyon,€1.10bn,713,€1.23bn,705,€127.46m,
4,,Olympique Marseille,€1.10bn,1077,€855.81m,1069,€-247.72m,
5,,Stade Rennais FC,€852.52m,863,€930.51m,855,€78.00m,
6,,LOSC Lille,€503.66m,737,€1.00bn,728,€500.78m,
7,,OGC Nice,€432.88m,818,€387.24m,812,€-45.65m,
8,,FC Girondins Bordeaux,€327.50m,801,€471.90m,789,€144.40m,
9,,RC Lens,€304.23m,795,€491.85m,793,€187.63m,
10,,AS Saint-Étienne,€242.22m,768,€345.68m,759,€103.46m,
11,,RC Strasbourg Alsace,€212.62m,790,€192.03m,784,€-20.58m,
12,,FC Lorient,€184.83m,585,€328.02m,580,€143.20m,
13,,FC Nantes,€177.52m,672,€256.27m,656,€78.75m,
14,,FC Toulouse,€177.08m,633,€319.10m,617,€142.02m,
15,,Stade Reims,€161.89m,675,€249.10m,666,€87.21m,
16,,Montpellier HSC,€103.96m,605,€313.99m,604,€210.03m,
17,,FC Metz,€86.43m,900,€218.38m,902,€131.95m,
18,,AJ Auxerre,€82.38m,525,€192.93m,503,€110.55m,
19,,ESTAC Troyes,€71.96m,584,€131.85m,578,€59.90m,
20,,FC Sochaux-Montbéliard,€60.25m,734,€150.81m,727,€90.56m,
21,,Stade Brestois 29,€59.50m,508,€77.17m,488,€17.67m,
22,,Angers SCO,€53.62m,740,€192.55m,724,€138.93m,
23,,Dijon FCO,€51.49m,383,€90.24m,361,€38.75m,
24,,SM Caen,€50.49m,567,€131.44m,552,€80.95m,
25,,Amiens SC,€46.26m,615,€87.37m,601,€41.11m,
