#,Club,Club.1,Club.2,Expenditure,Arrivals,Income,Departures,Balance
1,,Juventus FC,€3.05bn,1556,€1.98bn,1668,"€-1,074.18m",
2,,Inter Milan,€2.55bn,1845,€1.69bn,1985,€-850.76m,
3,,AC Milan,€2.18bn,1573,€1.08bn,1722,"€-1,098.58m",
4,,AS Roma,€1.87bn,1432,€1.44bn,1549,€-436.72m,
5,,SSC Napoli,€1.52bn,1389,€1.02bn,1471,€-504.41m,
6,,SS Lazio,€1.19bn,1283,€855.07m,1421,€-332.19m,
7,,ACF Fiorentina,€1.15bn,1507,€1.02bn,1606,€-134.16m,
8,,Parma Calcio 1913,€996.55m,2036,€877.27m,2207,€-119.29m,
9,,Atalanta BC,€857.23m,1690,€1.13bn,1790,€267.83m,
10,,Genoa CFC,€778.33m,1971,€967.12m,2125,€188.79m,
11,,UC Sampdoria,€632.58m,1384,€797.39m,1451,€164.80m,
12,,Bologna FC 1909,€632.37m,1303,€503.21m,1405,€-129.16m,
13,,Udinese Calcio,€624.26m,1567,€991.61m,1743,€367.35m,
14,,Torino FC,€582.81m,1523,€536.97m,1638,€-45.83m,
15,,US Sassuolo,€489.75m,792,€519.68m,832,€29.93m,
16,,Palermo FC,€420.62m,1380,€427.83m,1521,€7.20m,
17,,Cagliari Calcio,€367.23m,1019,€397.58m,1126,€30.35m,
18,,Hellas Verona,€256.98m,1459,€435.43m,1675,€178.45m,
19,,AC Monza,€141.56m,1147,€56.92m,1293,€-84.64m,
20,,US Salernitana 1919,€131.99m,1392,€121.16m,1550,€-10.84m,
21,,US Lecce,€130.19m,1196,€238.69m,1311,€108.50m,
22,,SSC Bari,€118.51m,1374,€164.34m,1489,€45.83m,
23,,FC Empoli,€118.28m,1177,€371.69m,1313,€253.40m,
24,,Como 1907,€116.82m,1207,€18.33m,1351,€-98.49m,
25,,Brescia Calcio,€113.15m,1277,€242.22m,1501,€129.07m,
