#,wappen,Club,Club.1,League,"Value Mar 15, 2019",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€770.70m,€859.00m,11.5 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€387.25m,€644.05m,66.3 %,,,
3.0,,RB Leipzig,Bundesliga,€432.30m,€510.75m,18.1 %,,,
4.0,,Borussia Dortmund,Bundesliga,€602.30m,€436.40m,-27.5 %,,,
5.0,,VfB Stuttgart,Bundesliga,€160.20m,€330.23m,106.1 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€261.70m,€323.05m,23.4 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€177.65m,€252.00m,41.9 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€275.75m,€172.75m,-37.4 %,,,
9.0,,SC Freiburg,Bundesliga,€108.48m,€165.85m,52.9 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€133.00m,€152.60m,14.7 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€299.60m,€147.40m,-50.8 %,,,
12.0,,SV Werder Bremen,Bundesliga,€140.75m,€126.15m,-10.4 %,,,
13.0,,FC Augsburg,Bundesliga,€113.05m,€119.13m,5.4 %,,,
14.0,,1.FC Union Berlin,2. Bundesliga,€23.25m,€113.18m,386.8 %,,,
15.0,,1.FC Heidenheim 1846,2. Bundesliga,€16.10m,€66.78m,314.8 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€20.95m,€61.03m,191.3 %,,,
17.0,,VfL Bochum,2. Bundesliga,€17.65m,€59.45m,236.8 %,,,
18.0,,Holstein Kiel,2. Bundesliga,€22.35m,€46.63m,108.6 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.96bn,€4.59bn,15.7 %
