#,wappen,Club,Club.1,League,"Value Mar 15, 2014",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€571.40m,€1.27bn,122.6 %,,,
2.0,,FC Barcelona,LaLiga,€588.10m,€1.02bn,73.3 %,,,
3.0,,Atlético de Madrid,LaLiga,€272.00m,€515.80m,89.6 %,,,
4.0,,Real Sociedad,LaLiga,€135.90m,€383.80m,182.4 %,,,
5.0,,Athletic Bilbao,LaLiga,€130.70m,€367.00m,180.8 %,,,
6.0,,Villarreal CF,LaLiga,€74.80m,€218.60m,192.2 %,,,
7.0,,Valencia CF,LaLiga,€116.60m,€214.90m,84.3 %,,,
8.0,,Girona FC,LaLiga2,€9.10m,€180.70m,1885.7 %,,,
9.0,,Sevilla FC,LaLiga,€114.40m,€174.50m,52.5 %,,,
10.0,,Real Betis Balompié,LaLiga,€56.50m,€173.10m,206.4 %,,,
11.0,,UD Las Palmas,LaLiga2,€15.70m,€125.30m,698.1 %,,,
12.0,,CA Osasuna,LaLiga,€41.30m,€109.00m,163.9 %,,,
13.0,,Celta de Vigo,LaLiga,€47.30m,€94.90m,100.6 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€47.20m,€90.60m,91.9 %,,,
15.0,,RCD Mallorca,LaLiga2,€20.60m,€82.20m,299.0 %,,,
16.0,,Getafe CF,LaLiga,€48.50m,€76.80m,58.4 %,,,
17.0,,Deportivo Alavés,LaLiga2,€9.50m,€73.00m,668.4 %,,,
18.0,,Rayo Vallecano,LaLiga,€45.50m,€67.90m,49.2 %,,,
19.0,,Real Valladolid CF,LaLiga,€37.40m,€43.30m,15.8 %,,,
20.0,,CD Leganés,2ª B - Grupo II,€200k,€40.40m,20100.0 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.38bn,€5.32bn,123.4 %
