#,wappen,Club,Club.1,League,"Value Mar 15, 2014",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€371.25m,€923.50m,148.8 %,,,
2.0,,AS Monaco,Ligue 1,€218.00m,€399.20m,83.1 %,,,
3.0,,LOSC Lille,Ligue 1,€70.05m,€318.35m,354.5 %,,,
4.0,,Olympique Marseille,Ligue 1,€122.80m,€285.30m,132.3 %,,,
5.0,,Olympique Lyon,Ligue 1,€102.75m,€226.93m,120.9 %,,,
6.0,,RC Strasbourg Alsace,,€1.55m,€222.50m,14254.8 %,,,
7.0,,OGC Nice,Ligue 1,€52.85m,€215.75m,308.2 %,,,
8.0,,Stade Rennais FC,Ligue 1,€71.40m,€213.60m,199.2 %,,,
9.0,,RC Lens,Ligue 2,€18.00m,€126.80m,604.4 %,,,
10.0,,Stade Brestois 29,Ligue 2,€15.18m,€115.00m,657.8 %,,,
11.0,,Stade Reims,Ligue 1,€36.48m,€109.20m,199.4 %,,,
12.0,,FC Nantes,Ligue 1,€37.40m,€103.50m,176.7 %,,,
13.0,,FC Toulouse,Ligue 1,€55.30m,€94.75m,71.3 %,,,
14.0,,AJ Auxerre,Ligue 2,€14.40m,€72.20m,401.4 %,,,
15.0,,Le Havre AC,Ligue 2,€11.85m,€65.15m,449.8 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€96.30m,€57.40m,-40.4 %,,,
17.0,,Montpellier HSC,Ligue 1,€49.85m,€55.75m,11.8 %,,,
18.0,,Angers SCO,Ligue 2,€10.40m,€48.75m,368.8 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.36bn,€3.65bn,169.5 %
