#,Stadium,Capacity,Spectators,Average,Matches,sold out,Capacity.1
1.0,SIGNAL IDUNA PARKBorussia Dortmund,81.365,1.382.190,81.305,17.0,16.0,99.9
2.0,Allianz ArenaBayern Munich,75.0,1.275.000,75.0,17.0,17.0,100.0
3.0,Deutsche Bank ParkEintracht Frankfurt,58.0,968.300,56.959,17.0,10.0,98.2
4.0,MHPArena StuttgartVfB Stuttgart,60.449,937.058,55.121,17.0,10.0,91.2
5.0,Stadion im Borussia-ParkBorussia Mönchengladbach,54.042,873.306,51.371,17.0,5.0,95.1
6.0,RheinEnergieSTADION1.FC Köln,50.0,847.100,49.829,17.0,14.0,99.7
7.0,Red Bull ArenaRB Leipzig,47.069,767.976,45.175,17.0,3.0,96.0
8.0,WeserstadionSV Werder Bremen,42.1,709.258,41.721,17.0,13.0,99.1
9.0,Europa-Park StadionSC Freiburg,34.7,581.334,34.196,17.0,10.0,98.6
10.0,Mewa Arena1.FSV Mainz 05,33.305,522.425,30.731,17.0,5.0,92.3
11.0,BayArenaBayer 04 Leverkusen,30.21,509.732,29.984,17.0,11.0,99.3
12.0,WWK ARENAFC Augsburg,30.66,498.109,29.301,17.0,7.0,95.6
13.0,Volkswagen ArenaVfL Wolfsburg,28.917,440.585,25.917,17.0,6.0,89.6
14.0,Vonovia RuhrstadionVfL Bochum,26.0,431.681,25.393,17.0,9.0,97.7
15.0,PreZero ArenaTSG 1899 Hoffenheim,30.15,417.503,24.559,17.0,5.0,81.5
16.0,Stadion An der Alten Försterei1.FC Union Berlin,22.012,371.295,21.841,17.0,14.0,99.2
17.0,Merck-Stadion am BöllenfalltorSV Darmstadt 98,17.81,301.206,17.718,17.0,15.0,99.5
18.0,Voith-Arena1.FC Heidenheim 1846,15.0,255.000,15.0,17.0,17.0,100.0
