#,Stadium,Capacity,Spectators,Average,Matches,sold out,Capacity.1
1.0,Orange VélodromeOlympique Marseille,67.394,979.342,61.209,16.0,-,90.8
2.0,Parc des PrincesParis Saint-Germain,48.583,802.387,47.199,17.0,-,97.2
3.0,Groupama StadiumOlympique Lyon,59.186,762.905,44.877,17.0,-,75.8
4.0,Decathlon Arena-Stade Pierre-MauroyLOSC Lille,50.186,678.844,39.932,17.0,-,79.6
5.0,Stade Bollaert-DelelisRC Lens,38.223,643.006,37.824,17.0,17,99.0
6.0,Roazhon ParkStade Rennais FC,29.778,470.265,27.663,17.0,1,92.9
7.0,Stade de la BeaujoireFC Nantes,35.322,468.429,29.277,16.0,-,82.9
8.0,Stadium MunicipalFC Toulouse,33.15,438.735,25.808,17.0,-,77.9
9.0,Stade de la MeinauRC Strasbourg Alsace,26.109,431.109,25.359,17.0,3,97.1
10.0,Allianz RivieraOGC Nice,36.178,424.177,24.952,17.0,-,69.0
11.0,Stade Saint-SymphorienFC Metz,28.786,405.246,23.838,17.0,2,82.8
12.0,Stade OcéaneLe Havre AC,25.178,371.935,21.879,17.0,-,86.9
13.0,Stade du MoustoirFC Lorient,16.787,267.191,15.717,17.0,-,93.6
14.0,Stade Auguste-DelauneStade Reims,20.519,266.378,15.669,17.0,-,76.4
15.0,Stade Francis-Le BléStade Brestois 29,15.22,247.757,14.574,17.0,4,95.8
16.0,Stade de la MossonMontpellier HSC,22.0,236.311,14.769,16.0,-,67.1
17.0,Stade Gabriel-MontpiedClermont Foot 63,10.8,166.133,9.773,17.0,-,90.5
18.0,Stade Louis-IIAS Monaco,18.525,127.840,7.52,17.0,-,40.6
