#,Stadium,Capacity,Spectators,Average,Matches,sold out,Capacity.1
1.0,Old TraffordManchester United,74.879,1.397.148,73.534,19.0,-,98.2
2.0,London StadiumWest Ham United,62.5,1.186.367,62.44,19.0,-,99.9
3.0,Tottenham Hotspur StadiumTottenham Hotspur,62.85,1.167.725,61.459,19.0,-,97.8
4.0,Emirates StadiumArsenal FC,60.704,1.144.488,60.236,19.0,-,99.2
5.0,AnfieldLiverpool FC,61.276,1.060.362,55.809,19.0,-,91.1
6.0,Etihad StadiumManchester City,55.097,1.012.469,53.288,19.0,1,96.7
7.0,St James' ParkNewcastle United,52.258,990.904,52.153,19.0,-,99.8
8.0,Villa ParkAston Villa,42.918,796.501,41.921,19.0,-,97.7
9.0,Stamford BridgeChelsea FC,41.631,751.952,39.576,19.0,-,95.1
10.0,Goodison ParkEverton FC,39.414,741.793,39.042,19.0,-,99.1
11.0,AMEX StadiumBrighton & Hove Albion,31.876,599.319,31.543,19.0,-,99.0
12.0,Molineux StadiumWolverhampton Wanderers,31.75,589.697,31.037,19.0,-,97.8
13.0,Bramall LaneSheffield United,32.702,569.271,29.962,19.0,-,91.6
14.0,The City GroundNottingham Forest,30.404,558.326,29.386,19.0,-,96.7
15.0,Selhurst ParkCrystal Palace,25.486,472.742,24.881,19.0,-,97.6
16.0,Craven CottageFulham FC,29.589,461.722,24.301,19.0,-,82.1
17.0,Turf MoorBurnley FC,21.994,401.903,21.153,19.0,-,96.2
18.0,Gtech Community StadiumBrentford FC,17.25,324.565,17.082,19.0,-,99.0
19.0,Kenilworth RoadLuton Town,11.85,213.636,11.244,19.0,-,94.9
20.0,Vitality StadiumAFC Bournemouth,11.307,210.868,11.098,19.0,1,98.2
