#,Stadium,Capacity,Spectators,Average,Matches,sold out,Capacity.1
1.0,Giuseppe MeazzaInter Milan,75.923,1.383.926,72.838,19.0,8,95.9
2.0,Giuseppe MeazzaAC Milan,75.923,1.367.997,72.0,19.0,1,94.8
3.0,Olimpico di RomaAS Roma,70.634,1.195.578,62.925,19.0,3,89.1
4.0,Diego Armando MaradonaSSC Napoli,54.726,892.555,46.977,19.0,2,85.8
5.0,Olimpico di RomaSS Lazio,70.634,830.600,43.716,19.0,-,61.9
6.0,Allianz StadiumJuventus FC,41.507,747.557,39.345,19.0,1,94.8
7.0,Luigi FerrarisGenoa CFC,34.901,607.739,31.986,19.0,1,91.7
8.0,Artemio FranchiACF Fiorentina,43.147,551.015,29.001,19.0,2,67.2
9.0,Ettore GiardinieroUS Lecce,31.559,506.245,26.644,19.0,-,84.4
10.0,Stadio Renato Dall’AraBologna FC 1909,36.462,492.367,25.914,19.0,-,71.1
11.0,Olimpico Grande TorinoTorino FC,28.177,432.298,22.753,19.0,-,80.8
12.0,Bluenergy StadiumUdinese Calcio,25.144,409.385,21.547,19.0,4,85.7
13.0,Marcantonio BentegodiHellas Verona,39.211,405.891,21.363,19.0,-,54.5
14.0,ArechiUS Salernitana 1919,29.739,345.070,18.162,19.0,-,61.1
15.0,Unipol DomusCagliari Calcio,16.365,307.187,16.168,19.0,3,98.8
16.0,Gewiss StadiumAtalanta BC,24.95,279.769,14.725,19.0,-,59.0
17.0,Benito StirpeFrosinone Calcio,16.227,278.280,14.646,19.0,-,90.3
18.0,Mapei Stadium - Città del TricoloreUS Sassuolo,21.584,276.976,14.578,19.0,-,67.5
19.0,BrianteoAC Monza,17.102,231.394,12.179,19.0,-,71.2
20.0,Carlo CastellaniFC Empoli,19.847,206.358,10.861,19.0,-,54.7
