#,Club,Club.1,Club.2,Expenditure,Arrivals,Income,Departures,Balance
1,,Bayern Munich,€1.72bn,620,€940.43m,605,€-784.31m,
2,,Borussia Dortmund,€1.30bn,644,€1.29bn,622,€-5.54m,
3,,VfL Wolfsburg,€942.48m,637,€580.21m,608,€-362.27m,
4,,RB Leipzig,€933.86m,279,€754.91m,254,€-178.95m,
5,,Bayer 04 Leverkusen,€858.52m,659,€728.98m,641,€-129.54m,
6,,VfB Stuttgart,€480.29m,707,€616.42m,683,€136.13m,
7,,FC Schalke 04,€465.88m,817,€440.81m,789,€-25.08m,
8,,Eintracht Frankfurt,€455.55m,819,€569.12m,798,€113.57m,
9,,Borussia Mönchengladbach,€429.51m,630,€345.78m,603,€-83.72m,
10,,TSG 1899 Hoffenheim,€428.04m,443,€521.67m,411,€93.63m,
11,,Hamburger SV,€418.33m,808,€320.72m,788,€-97.61m,
12,,Hertha BSC,€339.49m,733,€300.79m,708,€-38.71m,
13,,SV Werder Bremen,€326.99m,716,€382.16m,705,€55.17m,
14,,1.FC Köln,€235.47m,736,€243.14m,712,€7.67m,
15,,1.FSV Mainz 05,€234.06m,749,€361.63m,735,€127.57m,
16,,SC Freiburg,€188.65m,552,€289.49m,523,€100.85m,
17,,FC Augsburg,€185.09m,656,€180.97m,662,€-4.12m,
18,,Hannover 96,€147.26m,812,€122.23m,799,€-25.04m,
19,,1.FC Union Berlin,€126.00m,590,€104.42m,579,€-21.58m,
20,,1.FC Nuremberg,€105.66m,844,€186.62m,843,€80.97m,
21,,1.FC Kaiserslautern,€96.27m,751,€90.37m,733,€-5.90m,
22,,Fortuna Düsseldorf,€57.35m,789,€63.32m,778,€5.97m,
23,,TSV 1860 Munich,€46.63m,778,€63.10m,756,€16.47m,
24,,VfL Bochum,€41.50m,657,€84.72m,633,€43.22m,
25,,Arminia Bielefeld,€38.93m,714,€45.23m,700,€6.30m,
