#,wappen,Club,Club.1,League,"Value Mar 15, 2013",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€435.45m,€859.00m,97.3 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€143.80m,€644.05m,347.9 %,,,
3.0,,RB Leipzig,Regionalliga Nordost,€6.28m,€510.75m,8039.4 %,,,
4.0,,Borussia Dortmund,Bundesliga,€250.20m,€436.40m,74.4 %,,,
5.0,,VfB Stuttgart,Bundesliga,€93.95m,€330.23m,251.5 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€54.20m,€323.05m,496.0 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€97.40m,€252.00m,158.7 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€72.95m,€172.75m,136.8 %,,,
9.0,,SC Freiburg,Bundesliga,€49.25m,€165.85m,236.8 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€48.10m,€152.60m,217.3 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€83.80m,€147.40m,75.9 %,,,
12.0,,SV Werder Bremen,Bundesliga,€84.90m,€126.15m,48.6 %,,,
13.0,,FC Augsburg,Bundesliga,€34.30m,€119.13m,247.3 %,,,
14.0,,1.FC Union Berlin,2. Bundesliga,€13.73m,€113.18m,724.6 %,,,
15.0,,1.FC Heidenheim 1846,3. Liga,€5.73m,€66.78m,1066.4 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€15.53m,€61.03m,293.1 %,,,
17.0,,VfL Bochum,2. Bundesliga,€18.05m,€59.45m,229.4 %,,,
18.0,,Holstein Kiel,Regionalliga Nord,€3.15m,€46.63m,1380.2 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.51bn,€4.59bn,203.6 %
