#,wappen,Club,Club.1,League,"Value Mar 15, 2016",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€707.30m,€1.27bn,79.8 %,,,
2.0,,FC Barcelona,LaLiga,€693.00m,€1.02bn,47.0 %,,,
3.0,,Atlético de Madrid,LaLiga,€361.50m,€515.80m,42.7 %,,,
4.0,,Real Sociedad,LaLiga,€118.60m,€383.80m,223.6 %,,,
5.0,,Athletic Bilbao,LaLiga,€140.00m,€367.00m,162.1 %,,,
6.0,,Villarreal CF,LaLiga,€137.90m,€218.60m,58.5 %,,,
7.0,,Valencia CF,LaLiga,€257.00m,€214.90m,-16.4 %,,,
8.0,,Girona FC,LaLiga2,€13.10m,€180.70m,1279.4 %,,,
9.0,,Sevilla FC,LaLiga,€193.10m,€174.50m,-9.6 %,,,
10.0,,Real Betis Balompié,LaLiga,€53.80m,€173.10m,221.7 %,,,
11.0,,UD Las Palmas,LaLiga,€29.20m,€125.30m,329.1 %,,,
12.0,,CA Osasuna,LaLiga2,€14.70m,€109.00m,641.5 %,,,
13.0,,Celta de Vigo,LaLiga,€82.80m,€94.90m,14.6 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€57.30m,€90.60m,58.1 %,,,
15.0,,RCD Mallorca,LaLiga2,€15.20m,€82.20m,440.8 %,,,
16.0,,Getafe CF,LaLiga,€47.90m,€76.80m,60.3 %,,,
17.0,,Deportivo Alavés,LaLiga2,€10.70m,€73.00m,582.2 %,,,
18.0,,Rayo Vallecano,LaLiga,€44.10m,€67.90m,54.0 %,,,
19.0,,Real Valladolid CF,LaLiga2,€18.50m,€43.30m,134.1 %,,,
20.0,,CD Leganés,LaLiga2,€13.90m,€40.40m,190.6 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.01bn,€5.32bn,76.9 %
