#,wappen,Club,Club.1,League,"Value Mar 15, 2019",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€927.65m,€923.50m,-0.4 %,,,
2.0,,AS Monaco,Ligue 1,€305.55m,€399.20m,30.6 %,,,
3.0,,LOSC Lille,Ligue 1,€173.85m,€318.35m,83.1 %,,,
4.0,,Olympique Marseille,Ligue 1,€266.55m,€285.30m,7.0 %,,,
5.0,,Olympique Lyon,Ligue 1,€420.40m,€226.93m,-46.0 %,,,
6.0,,RC Strasbourg Alsace,Ligue 1,€91.00m,€222.50m,144.5 %,,,
7.0,,OGC Nice,Ligue 1,€145.20m,€215.75m,48.6 %,,,
8.0,,Stade Rennais FC,Ligue 1,€142.45m,€213.60m,49.9 %,,,
9.0,,RC Lens,Ligue 2,€21.75m,€126.80m,483.0 %,,,
10.0,,Stade Brestois 29,Ligue 2,€17.45m,€115.00m,559.0 %,,,
11.0,,Stade Reims,Ligue 1,€71.20m,€109.20m,53.4 %,,,
12.0,,FC Nantes,Ligue 1,€99.75m,€103.50m,3.8 %,,,
13.0,,FC Toulouse,Ligue 1,€72.45m,€94.75m,30.8 %,,,
14.0,,AJ Auxerre,Ligue 2,€16.43m,€72.20m,339.6 %,,,
15.0,,Le Havre AC,Ligue 2,€19.60m,€65.15m,232.4 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€103.35m,€57.40m,-44.5 %,,,
17.0,,Montpellier HSC,Ligue 1,€86.15m,€55.75m,-35.3 %,,,
18.0,,Angers SCO,Ligue 1,€61.50m,€48.75m,-20.7 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.04bn,€3.65bn,20.1 %
