#,wappen,Club,Club.1,League,"Value Mar 15, 2017",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€525.25m,€1.31bn,148.5 %,,,
2.0,,Arsenal FC,Premier League,€492.00m,€1.13bn,129.1 %,,,
3.0,,Liverpool FC,Premier League,€371.20m,€993.50m,167.6 %,,,
4.0,,Chelsea FC,Premier League,€515.00m,€922.00m,79.0 %,,,
5.0,,Tottenham Hotspur,Premier League,€429.00m,€836.10m,94.9 %,,,
6.0,,Manchester United,Premier League,€471.00m,€699.25m,48.5 %,,,
7.0,,Newcastle United,Championship,€126.25m,€635.00m,403.0 %,,,
8.0,,Aston Villa,Championship,€83.50m,€627.50m,651.5 %,,,
9.0,,Brighton & Hove Albion,Championship,€50.10m,€555.60m,1009.0 %,,,
10.0,,West Ham United,Premier League,€209.40m,€454.30m,117.0 %,,,
11.0,,Nottingham Forest,Championship,€48.05m,€447.18m,830.6 %,,,
12.0,,Crystal Palace,Premier League,€186.75m,€441.00m,136.1 %,,,
13.0,,AFC Bournemouth,Premier League,€106.00m,€435.35m,310.7 %,,,
14.0,,Brentford FC,Championship,€24.15m,€417.10m,1627.1 %,,,
15.0,,Wolverhampton Wanderers,Championship,€52.58m,€408.80m,677.6 %,,,
16.0,,Everton FC,Premier League,€248.10m,€365.10m,47.2 %,,,
17.0,,Fulham FC,Championship,€54.55m,€362.00m,563.6 %,,,
18.0,,Ipswich Town,Championship,€22.95m,€279.60m,1118.3 %,,,
19.0,,Southampton FC,Premier League,€230.00m,€273.60m,19.0 %,,,
20.0,,Leicester City,Premier League,€205.30m,€273.30m,33.1 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.45bn,€11.86bn,166.4 %
