#,wappen,Club,Club.1,League,"Value Mar 15, 2021",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€607.30m,€663.80m,9.3 %,,,
2.0,,Juventus FC,Serie A,€689.60m,€623.20m,-9.6 %,,,
3.0,,AC Milan,Serie A,€496.30m,€523.50m,5.5 %,,,
4.0,,Atalanta BC,Serie A,€358.00m,€478.60m,33.7 %,,,
5.0,,SSC Napoli,Serie A,€557.58m,€355.55m,-36.2 %,,,
6.0,,AS Roma,Serie A,€370.35m,€304.00m,-17.9 %,,,
7.0,,SS Lazio,Serie A,€354.40m,€290.60m,-18.0 %,,,
8.0,,Bologna FC 1909,Serie A,€141.90m,€286.30m,101.8 %,,,
9.0,,ACF Fiorentina,Serie A,€200.00m,€281.80m,40.9 %,,,
10.0,,Torino FC,Serie A,€158.00m,€191.10m,20.9 %,,,
11.0,,Como 1907,Serie C - A,€4.88m,€176.05m,3511.3 %,,,
12.0,,Genoa CFC,Serie A,€87.45m,€157.35m,79.9 %,,,
13.0,,Udinese Calcio,Serie A,€134.60m,€154.50m,14.8 %,,,
14.0,,Parma Calcio 1913,Serie A,€138.35m,€153.30m,10.8 %,,,
15.0,,FC Empoli,Serie B,€40.75m,€96.10m,135.8 %,,,
16.0,,Hellas Verona,Serie A,€144.43m,€86.45m,-40.1 %,,,
17.0,,AC Monza,Serie B,€47.00m,€84.73m,80.3 %,,,
18.0,,Cagliari Calcio,Serie A,€185.95m,€78.90m,-57.6 %,,,
19.0,,US Lecce,Serie B,€28.40m,€77.08m,171.4 %,,,
20.0,,Venezia FC,Serie B,€22.48m,€76.50m,240.4 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.77bn,€5.14bn,7.8 %
