#,wappen,Club,Club.1,League,"Value Mar 15, 2022",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€977.30m,€1.31bn,33.6 %,,,
2.0,,Arsenal FC,Premier League,€511.00m,€1.13bn,120.5 %,,,
3.0,,Liverpool FC,Premier League,€889.00m,€993.50m,11.8 %,,,
4.0,,Chelsea FC,Premier League,€883.00m,€922.00m,4.4 %,,,
5.0,,Tottenham Hotspur,Premier League,€580.25m,€836.10m,44.1 %,,,
6.0,,Manchester United,Premier League,€790.25m,€699.25m,-11.5 %,,,
7.0,,Newcastle United,Premier League,€278.40m,€635.00m,128.1 %,,,
8.0,,Aston Villa,Premier League,€426.50m,€627.50m,47.1 %,,,
9.0,,Brighton & Hove Albion,Premier League,€239.70m,€555.60m,131.8 %,,,
10.0,,West Ham United,Premier League,€350.75m,€454.30m,29.5 %,,,
11.0,,Nottingham Forest,Championship,€58.20m,€447.18m,668.3 %,,,
12.0,,Crystal Palace,Premier League,€239.95m,€441.00m,83.8 %,,,
13.0,,AFC Bournemouth,Championship,€169.60m,€435.35m,156.7 %,,,
14.0,,Brentford FC,Premier League,€218.90m,€417.10m,90.5 %,,,
15.0,,Wolverhampton Wanderers,Premier League,€338.50m,€408.80m,20.8 %,,,
16.0,,Everton FC,Premier League,€453.75m,€365.10m,-19.5 %,,,
17.0,,Fulham FC,Championship,€147.00m,€362.00m,146.3 %,,,
18.0,,Ipswich Town,League One,€17.93m,€279.60m,1459.8 %,,,
19.0,,Southampton FC,Premier League,€246.75m,€273.60m,10.9 %,,,
20.0,,Leicester City,Premier League,€513.80m,€273.30m,-46.8 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€8.33bn,€11.86bn,42.3 %
