#,Stadium,Capacity,Spectators,Average,Matches,sold out,Capacity.1
1.0,Giuseppe MeazzaInter Milan,75.923,1.383.926,72.838,19.0,8,95.9 %
,Giuseppe Meazza,,,,,,
,Inter Milan,,,,,,
2.0,Giuseppe MeazzaAC Milan,75.923,1.367.997,72.0,19.0,1,94.8 %
,Giuseppe Meazza,,,,,,
,AC Milan,,,,,,
3.0,Olimpico di RomaAS Roma,70.634,1.195.578,62.925,19.0,3,89.1 %
,Olimpico di Roma,,,,,,
,AS Roma,,,,,,
4.0,Diego Armando MaradonaSSC Napoli,54.726,892.555,46.977,19.0,2,85.8 %
,Diego Armando Maradona,,,,,,
,SSC Napoli,,,,,,
5.0,Olimpico di RomaSS Lazio,70.634,830.600,43.716,19.0,-,61.9 %
,Olimpico di Roma,,,,,,
,SS Lazio,,,,,,
6.0,Allianz StadiumJuventus FC,41.507,747.557,39.345,19.0,1,94.8 %
,Allianz Stadium,,,,,,
,Juventus FC,,,,,,
7.0,Luigi FerrarisGenoa CFC,34.901,607.739,31.986,19.0,1,91.7 %
,Luigi Ferraris,,,,,,
,Genoa CFC,,,,,,
8.0,Artemio FranchiACF Fiorentina,43.147,551.015,29.001,19.0,2,67.2 %
,Artemio Franchi,,,,,,
,ACF Fiorentina,,,,,,
9.0,Ettore GiardinieroUS Lecce,31.559,506.245,26.644,19.0,-,84.4 %
,Ettore Giardiniero,,,,,,
,US Lecce,,,,,,
10.0,Stadio Renato Dall’AraBologna FC 1909,36.462,492.367,25.914,19.0,-,71.1 %
,Stadio Renato Dall’Ara,,,,,,
,Bologna FC 1909,,,,,,
11.0,Olimpico Grande TorinoTorino FC,28.177,432.298,22.753,19.0,-,80.8 %
,Olimpico Grande Torino,,,,,,
,Torino FC,,,,,,
12.0,Bluenergy StadiumUdinese Calcio,25.144,409.385,21.547,19.0,4,85.7 %
,Bluenergy Stadium,,,,,,
,Udinese Calcio,,,,,,
13.0,Marcantonio BentegodiHellas Verona,39.211,405.891,21.363,19.0,-,54.5 %
,Marcantonio Bentegodi,,,,,,
,Hellas Verona,,,,,,
14.0,ArechiUS Salernitana 1919,29.739,345.070,18.162,19.0,-,61.1 %
,Arechi,,,,,,
,US Salernitana 1919,,,,,,
15.0,Unipol DomusCagliari Calcio,16.365,307.187,16.168,19.0,3,98.8 %
,Unipol Domus,,,,,,
,Cagliari Calcio,,,,,,
16.0,Gewiss StadiumAtalanta BC,24.95,279.769,14.725,19.0,-,59.0 %
,Gewiss Stadium,,,,,,
,Atalanta BC,,,,,,
17.0,Benito StirpeFrosinone Calcio,16.227,278.280,14.646,19.0,-,90.3 %
,Benito Stirpe,,,,,,
,Frosinone Calcio,,,,,,
18.0,Mapei Stadium - Città del TricoloreUS Sassuolo,21.584,276.976,14.578,19.0,-,67.5 %
,Mapei Stadium - Città del Tricolore,,,,,,
,US Sassuolo,,,,,,
19.0,BrianteoAC Monza,17.102,231.394,12.179,19.0,-,71.2 %
,Brianteo,,,,,,
,AC Monza,,,,,,
20.0,Carlo CastellaniFC Empoli,19.847,206.358,10.861,19.0,-,54.7 %
,Carlo Castellani,,,,,,
,FC Empoli,,,,,,
,Total:,0.0,11.748.187,30.916,380.0,25,78.0 %
